date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:47	89/89	---M-Z	200	added ('OK')	text/plain	date:Tue,%2008%20Nov%202022%2010:21:26%20GMT	https://www.swansea.ac.uk/robots.txt		(from )
21:56:48	71046/71046	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:49%20GMT	https://www.swansea.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/index.html	(from )
21:56:48	244104/244104	---MCZ	200	added ('OK')	application/javascript	etag:W/%223b988-O4jU/4X9bZXspsEsvjnR1wkYLEM%22	https://ik.imagekit.io/s1sp3stox/_web/js/www-bundle.min.js?v=b348f1a3104466ceba9ead35abeb8974&ik-sdk-version=php-2.0.0	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/ik.imagekit.io/s1sp3stox/_web/js/www-bundle.min6d73.js	(from https://www.swansea.ac.uk/)
21:56:48	282010/282010	---MCZ	200	added ('OK')	text/css	etag:W/%2244d9a-jHSU2x9YeU7sOkrUFe0QZXB4L60%22	https://ik.imagekit.io/s1sp3stox/_web/css/homepage.min.css?v=6441f4272a0d918f9a8e5461888aca26&ik-sdk-version=php-2.0.0	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/ik.imagekit.io/s1sp3stox/_web/css/homepage.min5398.css	(from https://www.swansea.ac.uk/)
21:56:49	4256/4256	---M--	200	added ('OK')	image/png	etag:W/%2210a0-t7H0sqJrK5x/5gJhUxJUuAQuIe8%22	https://ik.imagekit.io/s1sp3stox/_web/img/icons/apple-touch-icon.png?ik-sdk-version=php-2.0.0	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/ik.imagekit.io/s1sp3stox/_web/img/icons/apple-touch-icona5b1.png	(from https://www.swansea.ac.uk/)
21:56:49	589/589	---M--	200	added ('OK')	image/png	etag:W/%2224d-CAAl/azWU+PCSK1Wunvyvxhn4ws%22	https://ik.imagekit.io/s1sp3stox/_web/img/favicon/www/favicon-32x32.png?ik-sdk-version=php-2.0.0	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/ik.imagekit.io/s1sp3stox/_web/img/favicon/www/favicon-32x32a5b1.png	(from https://www.swansea.ac.uk/)
21:56:50	414/414	---M--	200	added ('OK')	image/jpeg	etag:W/%2219e-1iM991XuGyXB3swgwoB5To9ClPQ%22	https://ik.imagekit.io/s1sp3stox/_web/img/favicon/www/favicon-16x16.png?ik-sdk-version=php-2.0.0	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/ik.imagekit.io/s1sp3stox/_web/img/favicon/www/favicon-16x16a5b1.jpg	(from https://www.swansea.ac.uk/)
21:56:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2012%20Nov%202022%2016:27:52%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.googletagmanager.com/gtm.65445.delayed	(from https://www.swansea.ac.uk/)
21:56:50	11024/11024	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2012%20Nov%202022%2016:27:52%20GMT	https://kit.fontawesome.com/026410dcd9.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/kit.fontawesome.com/026410dcd9.js	(from https://www.swansea.ac.uk/)
21:56:51	4377/4377	---M--	200	added ('OK')	image/png	etag:W/%221119-G9SYxt+pD659ASRkfw2saorDwRE%22	https://ik.imagekit.io/s1sp3stox/_web/img/logo/stacked/logo-white-stacked-en.png?ik-sdk-version=php-2.0.0	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/ik.imagekit.io/s1sp3stox/_web/img/logo/stacked/logo-white-stacked-ena5b1.png	(from https://www.swansea.ac.uk/)
21:56:52	80715/80715	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Sep%202021%2009:45:12%20GMT	https://www.swansea.ac.uk/media/swansea-university-students-on-bay-campus.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/media/swansea-university-students-on-bay-campus.jpg	(from https://www.swansea.ac.uk/)
21:56:52	62990/62990	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:54%20GMT	https://www.swansea.ac.uk/our-open-days/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/our-open-days/index.html	(from https://www.swansea.ac.uk/)
21:56:53	59286/59286	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:54%20GMT	https://www.swansea.ac.uk/jobs-at-swansea/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/jobs-at-swansea/index.html	(from https://www.swansea.ac.uk/)
21:56:53	64315/64315	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Sep%202021%2009:05:51%20GMT	https://www.swansea.ac.uk/media/kaleidoscope-image-no-words.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/media/kaleidoscope-image-no-words.jpg	(from https://www.swansea.ac.uk/)
21:56:53	69729/69729	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:54%20GMT	https://www.swansea.ac.uk/cy/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/cy/index.html	(from https://www.swansea.ac.uk/)
21:56:54	65147/65147	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:55%20GMT	https://www.swansea.ac.uk/accommodation/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/accommodation/index.html	(from https://www.swansea.ac.uk/)
21:56:54	63503/63503	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:55%20GMT	https://www.swansea.ac.uk/undergraduate/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/undergraduate/index.html	(from https://www.swansea.ac.uk/)
21:56:54	71345/71345	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:55%20GMT	https://www.swansea.ac.uk/undergraduate/courses/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/undergraduate/courses/index.html	(from https://www.swansea.ac.uk/)
21:56:54	74296/74296	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:56%20GMT	https://www.swansea.ac.uk/clearing/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/clearing/index.html	(from https://www.swansea.ac.uk/)
21:56:55	77905/77905	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Sep%202021%2009:05:51%20GMT	https://www.swansea.ac.uk/media/press-office-mega-menu-cta.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/media/press-office-mega-menu-cta.png	(from https://www.swansea.ac.uk/)
21:56:55	84929/84929	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:57%20GMT	https://www.swansea.ac.uk/parents/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/parents/index.html	(from https://www.swansea.ac.uk/)
21:56:55	51979/51979	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:57%20GMT	https://www.swansea.ac.uk/open-days/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/open-days/index.html	(from https://www.swansea.ac.uk/)
21:56:55	64012/64012	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:57%20GMT	https://www.swansea.ac.uk/undergraduate/how-to-apply/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/undergraduate/how-to-apply/index.html	(from https://www.swansea.ac.uk/)
21:56:56	300637/300637	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Oct%202022%2022:30:52%20GMT	https://www.swansea.ac.uk/SU-Web-Banner.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/SU-Web-Banner.jpg	(from https://www.swansea.ac.uk/)
21:56:56	61598/61598	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:58%20GMT	https://www.swansea.ac.uk/undergraduate/scholarships/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/undergraduate/scholarships/index.html	(from https://www.swansea.ac.uk/)
21:56:56	53074/53074	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:58%20GMT	https://www.swansea.ac.uk/study/keep-in-touch/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/study/keep-in-touch/index.html	(from https://www.swansea.ac.uk/)
21:56:57	56742/56742	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:58%20GMT	https://www.swansea.ac.uk/undergraduate/contact-admissions/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/undergraduate/contact-admissions/index.html	(from https://www.swansea.ac.uk/)
21:56:57	88416/88416	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Nov%202022%2022:51:11%20GMT	https://www.swansea.ac.uk/World-Cup-2.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/World-Cup-2.jpg	(from https://www.swansea.ac.uk/)
21:56:57	37476/37476	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Nov%202022%2008:58:21%20GMT	https://www.swansea.ac.uk/Adrian-Luckman-SU_Banner1110x345px.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/Adrian-Luckman-SU_Banner1110x345px.jpg	(from https://www.swansea.ac.uk/)
21:56:58	73319/73319	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:59%20GMT	https://www.swansea.ac.uk/postgraduate/taught/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/postgraduate/taught/index.html	(from https://www.swansea.ac.uk/)
21:56:58	65381/65381	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:59%20GMT	https://www.swansea.ac.uk/postgraduate/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/postgraduate/index.html	(from https://www.swansea.ac.uk/)
21:56:58	73621/73621	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:59%20GMT	https://www.swansea.ac.uk/postgraduate/research/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/postgraduate/research/index.html	(from https://www.swansea.ac.uk/)
21:56:58	58812/58812	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:27:59%20GMT	https://www.swansea.ac.uk/postgraduate/open-days/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/postgraduate/open-days/index.html	(from https://www.swansea.ac.uk/)
21:56:59	73537/73537	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Aug%202022%2009:42:14%20GMT	https://www.swansea.ac.uk/555x345-85-7975-Female-students-on-mall-Tesco-Bay-campus.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/555x345-85-7975-Female-students-on-mall-Tesco-Bay-campus.jpg	(from https://www.swansea.ac.uk/)
21:56:59	61785/61785	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:28:01%20GMT	https://www.swansea.ac.uk/postgraduate/apply/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/postgraduate/apply/index.html	(from https://www.swansea.ac.uk/)
21:57:00	54955/54955	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:28:01%20GMT	https://www.swansea.ac.uk/postgraduate/scholarships/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/postgraduate/scholarships/index.html	(from https://www.swansea.ac.uk/)
21:57:00	61086/61086	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:28:01%20GMT	https://www.swansea.ac.uk/the-university/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/the-university/index.html	(from https://www.swansea.ac.uk/)
21:57:00	56652/56652	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:28:01%20GMT	https://www.swansea.ac.uk/postgraduate/contact-admissions/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/postgraduate/contact-admissions/index.html	(from https://www.swansea.ac.uk/)
21:57:00	67691/67691	---M-Z	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2016:28:02%20GMT	https://www.swansea.ac.uk/international-students/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day18/Web86/Site86/www.swansea.ac.uk/international-students/index.html	(from https://www.swansea.ac.uk/)
